Name,M,N,AvgTime,TotalRun,NonZeroPerRow,NonZeroElements,Bandwidth,Flops,Partition,ValueType
syn500K1M1_0,500000,1000000,  0.730268,1000,1.000000,500000,21.909764,1.369360,416,8
syn500K1M1_1,500000,1000000,  0.739053,1000,1.000000,500000,21.649331,1.353083,416,8
syn500K1M2_1,500000,1000000,  0.897960,1000,2.000000,1000000,28.954509,2.227270,416,8
syn500K1M2_0,500000,1000000,  0.954600,1000,2.000000,1000000,27.236535,2.095118,416,8
syn500K1M3_1,500000,1000000,  1.081876,1000,3.000000,1500000,33.275522,2.772960,416,8
syn500K1M3_0,500000,1000000,  1.081792,1000,3.000000,1500000,33.278124,2.773177,416,8
syn500K1M4_0,500000,1000000,  1.283984,1000,4.000000,2000000,35.826001,3.115304,416,8
syn500K1M4_1,500000,1000000,  1.284050,1000,4.000000,2000000,35.824159,3.115144,416,8
syn500K1M15_0,500000,1000000,  3.445379,1000,15.000000,7500000,45.278037,4.353657,416,8
syn500K1M15_1,500000,1000000,  3.450484,1000,15.000000,7500000,45.211051,4.347216,416,8
syn500K1M30_0,500000,1000000,  6.695283,1000,30.000000,15000000,45.703818,4.480766,416,8
syn500K1M30_1,500000,1000000,  6.694297,1000,30.000000,15000000,45.710552,4.481427,416,8
syn500K1M45_0,500000,1000000, 10.012709,1000,45.000000,22500000,45.542121,4.494288,416,8
syn500K1M45_1,500000,1000000, 10.007166,1000,45.000000,22500000,45.567347,4.496778,416,8
syn500K1M70_1,500000,1000000, 15.553942,1000,70.000000,35000000,45.390422,4.500467,416,8
syn500K1M70_0,500000,1000000, 15.555217,1000,70.000000,35000000,45.386703,4.500098,416,8
syn500K1M80_1,500000,1000000, 17.798660,1000,80.000000,40000000,45.284308,4.494720,416,8
syn500K1M80_0,500000,1000000, 17.798904,1000,80.000000,40000000,45.283687,4.494659,416,8
syn500K1M90_0,500000,1000000, 19.835549,1000,90.000000,45000000,45.675570,4.537308,416,8
syn500K1M90_1,500000,1000000, 19.835051,1000,90.000000,45000000,45.676717,4.537422,416,8
syn500K1M100_0,500000,1000000, 22.141914,1000,100.000000,50000000,45.434193,4.516321,416,8
syn500K1M100_1,500000,1000000, 22.141068,1000,100.000000,50000000,45.435929,4.516494,416,8
syn70K140K4_0,70000,140000,  0.139375,1000,4.000000,280000,46.206378,4.017943,416,8
syn70K140K4_1,70000,140000,  0.139229,1000,4.000000,280000,46.254850,4.022158,416,8
syn80K160K4_0,80000,160000,  0.155415,1000,4.000000,320000,47.357090,4.118006,416,8
syn80K160K4_1,80000,160000,  0.173986,1000,4.000000,320000,42.302368,3.678465,416,8
syn100K200K4_0,100000,200000,  0.194897,1000,4.000000,400000,47.204333,4.104723,416,8
syn100K200K4_1,100000,200000,  0.222701,1000,4.000000,400000,41.310931,3.592253,416,8
syn120K240K4_0,120000,240000,  0.236108,1000,4.000000,480000,46.758234,4.065932,416,8
syn140K280K4_0,140000,280000,  0.278915,1000,4.000000,560000,46.178956,4.015560,416,8
syn140K280K4_1,140000,280000,  0.305180,1000,4.000000,560000,42.204674,3.669970,416,8
syn250K500K4_0,250000,500000,  0.573975,1000,4.000000,1000000,40.071423,3.484471,416,8
syn250K500K4_1,250000,500000,  0.575997,1000,4.000000,1000000,39.930749,3.472238,416,8
syn300K600K4_1,300000,600000,  0.718487,1000,4.000000,1200000,38.414045,3.340351,416,8
syn300K600K4_0,300000,600000,  0.765295,1000,4.000000,1200000,36.064527,3.136045,416,8
syn400K800K4_0,400000,800000,  0.997408,1000,4.000000,1600000,36.895648,3.208317,416,8
